street,domain,qid,wikidata_label,sitelinks,km_from_ada_county,same_name_items,other_domains,verdict,notes,pass,source
West Malta Drive,idaho_place,Q233,Malta,40,266,1,country,y,should be the country based on proximity | AUDIT: verdict changed to 'y' per AP ruling. Model reasoning: Surrounded by Italian city names; Malta likely extends theme to the nearby Mediterranean country.,1,audit: ruled for model
South Alyeska Lane,ski_resort,Q9147336,Alyeska,6,2913,1,-,n,should refer to the Aleut word for Alaska,1,hand-label (audit agreed)
East Roaring Creek Street,us_river,Q25208930,Roaring Creek,2,3053,1,-,n,coincidental invented name,2,hand-label (audit agreed)
South Bonefish Drive,fish,Q2014405,Bonefish,28,,1,-,y,,1,hand-label (audit agreed)
East Borzoi Court,dog_breed,Q37866,Borzoi,43,,1,-,y,,1,hand-label (audit agreed)
West Muirfield Drive,golf_course,Q1951987,Muirfield,10,7321,1,-,y,,1,hand-label (audit agreed)
West Cayuse Lane,horse_breed,Q5055481,Cayuse,6,,1,-,y,,1,hand-label (audit agreed)
North Dawn Street,mineral,Q11326182,Dawn,3,,1,gemstone,y,"probably a name | AUDIT: verdict changed to 'y' per AP ruling. Model reasoning: No supporting theme; plain common-word meaning of ""dawn"".",1,audit: ruled for model
North Snowbell Road,plant,Q525062,snowbell,31,,2,-,y,,1,hand-label (audit agreed)
North Long Lake Way,us_lake,Q49304601,Long Lake,1,136,244,-,n,"too generic of a name, must be invented",2,audit: ruled for author
South Ivy Street,plant,Q26771,ivy,74,,1,-,y,,1,hand-label (audit agreed)
South Willow Lake Place,us_lake,Q7375031,Willow Lake,1,152,3,-,y,,1,hand-label (audit agreed)
South Blue Jay Place,bird,Q199758,Blue Jay,74,,1,-,y,,1,hand-label (audit agreed)
West Bellevue Street,idaho_place,Q1516909,Bellevue,40,160,1,-,y,,1,hand-label (audit agreed)
West Duck Lake Drive,us_lake,Q49301948,Duck Lake,1,181,80,-,y,must be the one in Idaho,2,hand-label (audit agreed)
West Wild Sheep Lane,mammal,Q378080,Wild Sheep,71,,1,-,y,AUDIT: verdict changed to 'y' per AP ruling. Model reasoning: Isolated street; plain generic meaning (the animal) is most likely.,1,audit: ruled for model
North Nemea Avenue,greek_deity,Q15261586,Nemea,9,,1,-,y,"CORRECTED by AP after LLM review: snap judgement. Subdivision is Greek PLACES (Naxos, Mikonos, Delphi, Kalamata, Pindus); Nemea is the town in Corinthia, not the deity. Flagged independently by Opus and Sonnet. | AUDIT: verdict changed to 'y' per AP ruling. Model reasoning: Matches neighboring Greek town/island names (Kalamata, Naxos, Skyros).",1,audit: ruled for model
East Clear Creek Drive,us_river,Q5130667,Clear Creek,6,1020,27,-,y,,1,audit: ruled for author
West Montana Avenue,us_state,Q1212,Montana,216,628,1,-,y,,1,hand-label (audit agreed)
East Washington Avenue,us_state,Q1223,Washington,223,559,1,us_president,n,"proximity would not solve this. No other state names or presidents nearby. President probably the default | AUDIT: verdict changed to 'n' per AP ruling. Model reasoning: Clearly the presidents-streets grid (Jefferson, Madison, Harrison, Hays), but no candidate is George Washingto",1,audit: ruled for model
South Ringtail Avenue,fish,Q1094327,Ringtail,17,,1,mammal,n,"Definitely bird related due to Circinae nearby, but that may be ambiguous",1,audit: ruled for author
West Camellia Lane,plant,Q212815,camellia,68,,2,-,y,,1,hand-label (audit agreed)
North Trail Creek Lane,us_river,Q134525019,Trail Creek,2,2396,2,-,y,Almost certainly invented | AUDIT: verdict changed to 'y' per AP ruling. Model reasoning: Dagger Falls (real central Idaho whitewater feature) nearby supports Idaho/Wyoming stream reading.,2,audit: ruled for model
East Cottage Street,grape_variety,Q5783996,Cottage,1,,1,-,y,"subdivision name is Merlin Cottages, so probably based on that | AUDIT: verdict changed to 'y' per AP ruling. Model reasoning: Doesn't fit geology theme; plain generic meaning (small house).",1,audit: ruled for model
South Hydra Avenue,constellation,Q10578,Hydra,89,,1,-,y,,1,hand-label (audit agreed)
North Columbine Avenue,plant,Q147641,columbine,64,,2,-,y,,1,hand-label (audit agreed)
South White Pine Lane,plant,Q1981615,White Pine,24,,2,-,w,"I had to check since the summaries were identical. Q118442493, western white pine, is the correct one, but I could only determine this from one of its alternate names, Idaho white pine",2,audit: ruled for author
West Garfield Street,idaho_place,Q48852078,Garfield,3,527,1,us_president,n,should be the president,1,hand-label (audit agreed)
North Trumpet Place,fish,Q8338,Trumpet,19,,1,plant,y,nearby street suggests instrument | AUDIT: verdict changed to 'y' per AP ruling. Model reasoning: No theme; plain generic meaning (the instrument).,1,audit: ruled for model
East Griffon Street,dog_breed,Q1028186,griffon,10,,1,-,y,,1,hand-label (audit agreed)
West Taft Street,us_president,Q35648,William Howard Taft,147,,1,-,y,,1,hand-label (audit agreed)
East Kiwi Court,plant,Q13194,kiwi,33,,1,-,y,"AUDIT: verdict changed to 'y' per AP ruling. Model reasoning: No theme; fruit is the more common casual referent for standalone ""Kiwi"" street names.",1,audit: ruled for model
West Atlas Lane,greek_deity,Q13427,Atlas,86,,1,-,y,"AUDIT: verdict changed to 'y' per AP ruling. Model reasoning: Neighbors reference moons/planets/spacecraft (Callisto, Mars, Rosetta); Atlas as a star fits better than the d",1,audit: ruled for model
West President Drive,us_president,Q30461,The President,0,,1,-,y,"seems to refer to the office itself. This fictional president definitely shouldn’t show up | AUDIT: verdict changed to 'y' per AP ruling. Model reasoning: Empress Street nearby suggests a leadership-title theme; generic ""president"" reading fits.",1,audit: ruled for model
South Carina Way,constellation,Q10470,Carina,86,,1,-,y,"Not 100% confident. Never heard of, would want proximity",1,hand-label (audit agreed)
North Mount Hood Avenue,us_mountain,Q275662,Mount Hood,43,483,2,-,y,,1,hand-label (audit agreed)
West Gidran Court,horse_breed,Q285445,Gidran,11,,1,-,y,,1,hand-label (audit agreed)
North Grey Hawk Avenue,bird,Q10741794,Grey Hawk,18,,1,-,y,,1,hand-label (audit agreed)
North Skipper Avenue,fish,Q1886478,skipper,22,,2,-,n,"Fish doesn’t seem very plausible, but still no idea",2,hand-label (audit agreed)
South Victoria Drive,roman_deity,Q9439,Victoria,48,,1,grape_variety,y,"genuinely ambiguous, should have multiple low-confidence suggestions. Grape variety spurious though | AUDIT: verdict changed to 'y' per AP ruling. Model reasoning: No theme; Queen Victoria is the most common default referent for ""Victoria"" streets.",1,audit: ruled for model
West Prickly Pear Drive,plant,Q292801,Prickly pear,11,,3,-,y,,1,hand-label (audit agreed)
North Alpha Lane,grape_variety,Q9659,Alpha,1,,1,-,y,definitely not grape variety. Probably the greek letter | AUDIT: verdict changed to 'y' per AP ruling. Model reasoning: No theme; likely a simple alphabetic/letter-naming convention.,1,audit: ruled for model
West Vega Lane,grape_variety,Q3427,Vega,1,,1,-,y,"almost certainly the star | AUDIT: verdict changed to 'y' per AP ruling. Model reasoning: Neighbors Aguila, Altair, Capella — all star names; Vega fits the pattern.",1,audit: ruled for model
North Lake Placid Avenue,us_lake,Q9652,Lake Placid,13,3349,3,-,y,"AUDIT: verdict changed to 'y' per AP ruling. Model reasoning: Biathlon, Luge, Nordic, Moscow (1980 Games) point to Olympic host theme.",1,audit: ruled for model
South Larkspur Court,plant,Q160107,larkspur,62,,3,-,y,,1,hand-label (audit agreed)
South Pebble Lane,idaho_place,Q14673,Pebble,0,353,1,-,y,very common word | AUDIT: verdict changed to 'y' per AP ruling. Model reasoning: No context; generic descriptive word for the rock fragment.,1,audit: ruled for model
West Oxford Circle,idaho_place,Q1510107,Oxford,36,369,1,-,n,should be the university,1,audit: ruled for author
South Blue Mountain Lane,ski_resort,Q4929499,Blue Mountain,7,2854,2,us_mountain,n,invented,1,hand-label (audit agreed)
South Acheron Avenue,greek_deity,Q2256228,Acheron,2,,1,-,y,"AUDIT: verdict changed to 'y' per AP ruling. Model reasoning: Surrounded by Rockhampton, Auckland, Gisborne — Acheron, Victoria fits.",1,audit: ruled for model
North Cedar Avenue,idaho_place,Q128550,Cedar,0,157,1,plant,y,should be the tree | AUDIT: verdict changed to 'y' per AP ruling. Model reasoning: Old grid townsite with plain tree/civic names; genus fits best.,1,audit: ruled for model
West Panama Street,country,Q804,Panama,301,5203,1,-,y,,1,hand-label (audit agreed)
West Camas Lane,plant,Q4992158,camas,14,,1,-,y,should have also come up as Idaho county,1,hand-label (audit agreed)
South Sockeye Way,fish,Q44064,Sockeye,15,,1,-,y,"AUDIT: verdict changed to 'y' per AP ruling. Model reasoning: Barracuda, Trout, Grayling, Salmon — sockeye salmon fits fish theme.",1,audit: ruled for model
South Stanley Street,idaho_place,Q1513555,Stanley,40,135,1,-,y,,1,hand-label (audit agreed)
North Techne Lane,greek_deity,Q2095894,Techne,0,,1,-,q,"AUDIT: verdict changed to 'y' per AP ruling. Model reasoning: Muse Lane nearby suggests Greek philosophical concept, not the journal. | AUDIT: AP cannot rule. Q126913652 (personification/daimon) vs techne (craft-knowledge concept) are genuinely ambiguous for a street name. Set to q rather than forcing a verdict.",1,audit: unresolvable
North Booth Avenue,us_president,Q7241241,President Robert L. Booth,1,,1,-,n,this is a fictional president in Judge Dredd. Either code or Wikidata needs fix,1,hand-label (audit agreed)
North June Grass Avenue,plant,Q159962,June grass,23,,1,-,y,,1,hand-label (audit agreed)
West Castle Drive,constellation,Q23413,Castle,0,,1,-,y,Gamma-ray constellation seems too obscure to be etymology picked by developer. Year of construction would rule this out if considered | AUDIT: verdict changed to 'y' per AP ruling. Model reasoning: No strong specific referent; generic fortified-structure sense fits.,1,audit: ruled for model
West Avon Street,idaho_place,Q19865161,Avon,3,377,1,-,n,"probably refers to a river, but generically. Unclear how we would handle this",1,audit: ruled for author
West Silver City Court,idaho_place,Q7515893,Silver City,6,63,1,-,y,,1,hand-label (audit agreed)
East Geranium Street,plant,Q157211,Geranium,64,,1,-,y,"AUDIT: verdict changed to 'y' per AP ruling. Model reasoning: Fescue nearby; generic genus fits, no species-specific evidence.",1,audit: ruled for model
East Aruba Court,country,Q21203,Aruba,200,5591,1,-,y,,1,hand-label (audit agreed)
South Neptune Place,roman_deity,Q332,Neptune,92,,1,-,y,"should be the planet, use proximity | AUDIT: verdict changed to 'y' per AP ruling. Model reasoning: Constellation, Galileo, Luna, Orbit nearby — the planet fits.",1,audit: ruled for model
West Sooty Grouse Court,bird,Q1265902,Sooty Grouse,25,,1,-,y,,1,hand-label (audit agreed)
West Turtle Creek Drive,us_river,Q7856388,Turtle Creek,4,3026,8,-,n,invented,1,hand-label (audit agreed)
North Amber Street,fish,Q25381,Amber,22,,1,-,y,"ambiguous, but almost certainly not the fish | AUDIT: verdict changed to 'y' per AP ruling. Model reasoning: Plain residential street list; generic resin/color sense fits.",1,audit: ruled for model
West Rifleman Court,bird,Q1483744,Rifleman,38,,2,-,y,AUDIT: verdict changed to 'y' per AP ruling. Model reasoning: No theme evidence; generic infantry-soldier sense most plausible.,1,audit: ruled for model
West Mountain Creek Street,ski_resort,Q6924907,Mountain Creek,2,3404,1,us_river,n,invented,1,hand-label (audit agreed)
North Lusitano Avenue,horse_breed,Q937595,Lusitano,22,,1,-,y,,1,hand-label (audit agreed)
West Crooked River Drive,us_river,Q535450,Crooked River,9,421,8,-,n,AUDIT: verdict changed to 'n' per AP ruling. Model reasoning: Real Idaho Crooked River exists but isn't among candidates; Oregon's is a stretch.,1,audit: ruled for model
North Dawn Street,gemstone,Q11326182,Dawn,3,,1,mineral,y,still a dubious choice | AUDIT: verdict changed to 'y' per AP ruling. Model reasoning: Generic residential list; plain time-of-day sense fits.,1,audit: ruled for model
West Rochester Street,grape_variety,Q112305518,Rochester,1,,1,-,n,"genuinely ambiguous, should have multiple low-confidence suggestions. Grape variety spurious though",1,hand-label (audit agreed)
South Daisy Place,plant,Q26158,Daisy,45,,2,-,y,AUDIT: verdict changed to 'y' per AP ruling. Model reasoning: Breaks tribal theme; common daisy flower is the plain sense.,1,audit: ruled for model
West Custer Drive,idaho_place,Q3085818,Custer,7,162,1,-,n,should be the general based on proximity,1,hand-label (audit agreed)
South Weimaraner Way,dog_breed,Q38965,Weimaraner,35,,1,-,y,,1,hand-label (audit agreed)
South Jordan Creek Way,us_river,Q6276469,Jordan Creek,2,131,7,-,y,,1,hand-label (audit agreed)
West Clinton Lane,us_president,Q1124,Bill Clinton,223,,1,grape_variety,n,dates back to 1950s or earlier. Actual namesake probably not in wikidata,1,hand-label (audit agreed)
West Summer Hill Drive,us_mountain,Q49079897,Summer Hill,2,3602,1,-,n,"probably invented, used as subdivision name. Other street names invented. Idea: invented confidence goes up for multiple invented streets",1,hand-label (audit agreed)
North Merlot Place,grape_variety,Q213338,Merlot,46,,1,-,y,,1,hand-label (audit agreed)
North Bogus Basin Road,ski_resort,Q4937866,Bogus Basin,5,37,1,idaho_place,y,,1,hand-label (audit agreed)
West Snowcap Drive,bird,Q524681,Snowcap,24,,1,-,n,"AUDIT: verdict changed to 'n' per AP ruling. Model reasoning: Avalanche, Icicle, Snowdrift nearby; ""snowcap"" used as generic descriptor.",1,audit: ruled for model
South Denmark Street,country,Q35,Denmark,369,7864,1,-,y,,1,hand-label (audit agreed)
South Diana Lane,grape_variety,Q112246379,Diana,1,,1,roman_deity,n,ambiguous,1,hand-label (audit agreed)
South Bolinas Avenue,us_ethnic_group,Q2686131,Bolinas,1,,1,-,y,"AUDIT: verdict changed to 'y' per AP ruling. Model reasoning: Tiburon Avenue nearby — both are real Marin County, California places.",1,audit: ruled for model
North Wilson Street,us_president,Q34296,Woodrow Wilson,190,,1,idaho_place,y,"could be idaho place, but very unlikely",1,hand-label (audit agreed)
South Spring Lake Way,us_lake,Q112993248,Spring Lake,0,340,116,-,n,"too generic of a name, must be invented",2,hand-label (audit agreed)
East Lake Creek Drive,us_river,Q22954077,Lake Creek,3,610,9,-,n,Almost certainly invented,2,hand-label (audit agreed)
West Hidden Valley Drive,ski_resort,Q49811674,Hidden Valley,1,,2,-,y,"common, ambiguous | AUDIT: verdict changed to 'y' per AP ruling. Model reasoning: Santa Ana/Barbara/Cruz, San Bruno/Luis suggest CA theme; Placer County valley fits.",1,audit: ruled for model
South Henry Street,idaho_place,Q114186102,Henry,0,387,1,-,n,common name,1,hand-label (audit agreed)
West Poppy Street,plant,Q967457,poppy,79,,1,-,y,"AUDIT: verdict changed to 'y' per AP ruling. Model reasoning: No flower theme among neighbors; likely just the common flower, not the genus specifically.",1,audit: ruled for model
South Palomino Drive,grape_variety,Q657693,Palomino,17,,1,-,n,Should be the horse color,1,hand-label (audit agreed)
West Grand Teton Court,us_mountain,Q2078034,Grand Teton,25,439,1,-,y,,1,hand-label (audit agreed)
East Jack Creek Street,us_river,Q6111879,Jack Creek,2,1683,4,-,n,Probably invented. There is a Jack Creek in Idaho but it’s unnotable,2,hand-label (audit agreed)
East Ocelot Court,mammal,Q33261,Ocelot,91,,1,-,y,,1,hand-label (audit agreed)
North Mountain Lake Avenue,us_lake,Q1950851,Mountain Lake,6,3073,4,-,n,very common name,1,hand-label (audit agreed)
North Big River Place,us_river,Q4906196,Big River,7,766,8,-,n,"ambiguous, possibly invented",1,hand-label (audit agreed)
East Powder River Drive,us_river,Q999300,Powder River,19,923,2,-,y,AUDIT: verdict changed to 'y' per AP ruling. Model reasoning: Oregon's Powder River is the regional Snake tributary near Idaho.,1,audit: ruled for model
East Woodvine Court,plant,Q7396081,woodvine,11,,1,-,n,AUDIT: verdict changed to 'n' per AP ruling. Model reasoning: No candidate relates to sailing theme; likely invented pleasant name.,1,audit: ruled for model
West Redwood Creek Drive,us_river,Q3422988,Redwood Creek,10,688,4,-,y,,1,hand-label (audit agreed)
West Bobwhite Court,bird,Q142651,Bobwhite,35,,1,-,y,,1,hand-label (audit agreed)
West Stephanie Court,grape_variety,Q112255264,Stephanie,1,,1,-,n,nearby streets are given names,1,hand-label (audit agreed)
South Tartarus Way,greek_deity,Q101322,Tartarus,72,,1,-,y,,1,hand-label (audit agreed)
North Taurus Way,constellation,Q10570,Taurus,109,,1,-,y,,1,hand-label (audit agreed)
East Princess Drive,grape_variety,Q136438026,Princess,0,,1,-,n,you previously called this out as garbage. Proximity is no help,1,hand-label (audit agreed)
East Lost Creek Drive,us_river,Q49951774,Lost Creek,1,338,14,-,y,must be the one in Idaho,2,hand-label (audit agreed)
South Arctic Fox Avenue,mammal,Q82738,Arctic Fox,105,,1,-,y,,1,hand-label (audit agreed)
North Turnberry Way,golf_course,Q2096062,Turnberry,11,7283,1,-,y,,1,hand-label (audit agreed)
West King Way,plant,Q1042895,King,23,,1,-,n,"plant genus is implausible, but totally ambiguous from nearby streets",1,hand-label (audit agreed)
West Wall Drive,constellation,Q1145933,Wall,11,,1,-,n,common word,1,hand-label (audit agreed)
South Vermont Avenue,us_state,Q16551,Vermont,219,3458,1,-,y,,1,hand-label (audit agreed)
West Bloomington Drive,idaho_place,Q577802,Bloomington,41,419,1,-,y,"proximity reveals Bloomington, Illinois as correct choice | AUDIT: verdict changed to 'y' per AP ruling. Model reasoning: Bloomington, Illinois completes the Illinois-cities theme.",1,audit: ruled for model
West Pine Creek Court,idaho_place,Q7195093,Pine Creek,1,456,1,us_river,n,"AUDIT: verdict changed to 'n' per AP ruling. Model reasoning: Invented generic creek names (e.g. ""Notel Creek""); no specific referent.",1,audit: ruled for model
West Harvard Street,idaho_place,Q13371,Harvard,4,387,1,-,y,should obviously be the university | AUDIT: verdict changed to 'y' per AP ruling. Model reasoning: Isolated entry; university is the generic default reading.,1,audit: ruled for model
South Saturn Way,roman_deity,Q193,Saturn,87,,1,-,y,"planet, revealed by nearby street Jupiter | AUDIT: verdict changed to 'y' per AP ruling. Model reasoning: Planet is the default reading for a standalone planetary name.",1,audit: ruled for model
South Stibnite Avenue,idaho_place,Q122565131,Stibnite,0,176,1,-,y,"mineral name based on nearby streets | CORRECTED by AP: mining TOWN is right. Jumped to a conclusion from Cuprum. Cluster contains Bayhorse, Placerville, Oakley, Cuprum, Stibnite - all Idaho mining towns.",2,hand-label (audit agreed)
South Cabot Cliffs Lane,golf_course,Q78137834,Cabot Cliffs,0,4256,1,-,y,,1,hand-label (audit agreed)
South Redhead Avenue,bird,Q692192,Redhead,40,,1,-,y,,1,hand-label (audit agreed)
North Rhine Avenue,roman_deity,Q584,Rhine,0,,1,-,y,personification of the river implausible over the river itself | AUDIT: verdict changed to 'y' per AP ruling. Model reasoning: Rhine river underlies the wine theme; no specific wine-region candidate offered.,1,audit: ruled for model
North Porgy Way,fish,Q239590,Porgy,39,,14,-,y,AUDIT: verdict changed to 'y' per AP ruling. Model reasoning: No theme context; family-level fish name is the least-specific fit.,1,audit: ruled for model
South Umatilla Avenue,us_ethnic_group,Q491747,Umatilla,14,,1,-,y,,1,hand-label (audit agreed)
West Kingston Drive,fish,Q2236628,Kingston,20,,2,-,n,"definitely not fish, but nothing supports capital",2,hand-label (audit agreed)
West Daphne Street,greek_deity,Q122990,Daphne,53,,1,plant,y,AUDIT: verdict changed to 'y' per AP ruling. Model reasoning: Daphne genus fits the plant-name theme.,1,audit: ruled for model
South Coyote Place,mammal,Q44299,coyote,108,,2,-,y,,1,hand-label (audit agreed)
West Cory Court,fish,Q147894,Cory,38,,1,-,n,probably a name,1,hand-label (audit agreed)
West Gloxinia Street,plant,Q5239844,gloxinia,21,,1,-,y,,1,hand-label (audit agreed)
South Barracuda Avenue,fish,Q193921,barracuda,52,,7,-,y,,1,hand-label (audit agreed)
North Bunchberry Way,plant,Q157677,Bunchberry,30,,1,-,y,,1,hand-label (audit agreed)
West Nabesna Street,us_ethnic_group,Q1961991,Nabesna,1,,1,-,y,AUDIT: verdict changed to 'y' per AP ruling. Model reasoning: Nabesna River parallels the Koyukuk River reference.,1,audit: ruled for model
West Madison Avenue,us_president,Q11813,James Madison,176,,1,-,y,,1,hand-label (audit agreed)
West Garfield Street,us_president,Q34597,James A. Garfield,147,,1,idaho_place,y,,1,hand-label (audit agreed)
