street,domain,wikidata_label,qid,description,located_in,sitelinks,km_from_ada_county,same_name_items,next_best_alternatives,changed_since_first_pass,your_first_note,verdict__y_n_w_q,notes
North Rock Creek Lane,us_river,Rock Creek,Q2352739,"tributary of the Potomac River in Montgomery County, Maryland and Washington, D.C., in the United States","Washington, D.C., Maryland",7,3287,20,Rock Creek (Pennsylvania) | Rock Creek (Montana) | Rock Creek (Oregon),,"ambiguous, nearby streets are little help (water-related)",q,I think only the namer’s intent could clear this one up.
West Tana Street,us_mountain,Tana,Q1601043,"volcano in Aleutians West Census Area, Alaska",,5,4005,1,-,,"probably invented, nearby streets seem unrelated",q,"Candidate is very obscure, seems plausible as wholly invented name."
East Jack Creek Street,us_river,Jack Creek,Q6111879,river in the United States of America,"Jackson County, Minnesota",2,1683,4,"Jack Creek (Val Verde County, Texas) | Jack Creek [river in United States of America] | Jack Creek (Missouri)",,doesn’t say what state the river is in,n,Probably invented. There is a Jack Creek in Idaho but it’s unnotable
West Cobalt Lake Drive,us_lake,Cobalt Lake,Q5138715,lake in United States of America,Montana,1,595,2,"Cobalt Lake (Dutchess County, New York)",,which state is the lake in?,y,Glacier Lake is notable. Semi-obscure pick but seems totally valid
East Lake Creek Drive,us_river,Lake Creek,Q22954077,"river in Oregon, United States","Lane County, Oregon",3,610,9,"Lake Creek (Wasatch County, Utah) | Lake Creek (Iowa) | Lake Creek (Denali Borough, Alaska)",,"plausible, proximity does not disambiguate location",n,Almost certainly invented
North Trail Creek Lane,us_river,Trail Creek,Q7832719,river in the United States of America,Indiana,2,2396,2,"Trail Creek (Denton County, Texas)",,which state is the river in?,n,Almost certainly invented
West Murphy Road,idaho_place,Murphy,Q961918,"census-designated place in and county seat of Owyhee County, Idaho, United States","Owyhee County, Idaho",23,36,1,-,,"unclear. Could be derived from place, or from person the place came from, or someone else entirely. Should emit low confidence",q,Still ambiguous
North Skipper Avenue,fish,skipper,Q1886478,species of fish,,22,,2,Skipper [species of fish],,very ambiguous even with nearby streets,n,"Fish doesn’t seem very plausible, but still no idea"
North Long Lake Way,us_lake,Long Lake,Q49304601,"lake in Owyhee County, Idaho, United States of America","Owyhee County, Idaho",1,136,244,"Long Lake (Wallowa County, Oregon) | Long Lake (Naples, Maine) | Long Lake (Klamath County, Oregon)",yes,"could be any of many Long Lakes, or an invented name",n,"too generic of a name, must be invented"
North Chestnut Hill Way,us_mountain,Chestnut Hill,Q25203991,low mountain in Pennsylvania,"Northampton County, Pennsylvania",2,3366,41,"Chestnut Hill (New Castle County, Delaware) | Chestnut Hill (Frederick County, Maryland) | Chestnut Hill (Howard County, Maryland)",,could be invented,n,"too generic of a name, must be invented"
East Roaring Creek Street,us_river,Roaring Creek,Q25208930,river in the United States of America,"Randolph County, West Virginia",2,3053,1,-,,which state is the river in?,n,coincidental invented name
West Dover Lane,idaho_place,Dover,Q733687,"city in Bonner County, Idaho, United States","Bonner County, Idaho",40,535,1,-,,probably the capital of Delaware,q,"Not enough supporting evidence, though almost certainly not the Idaho place"
West Black Rock Drive,us_mountain,Black Rock,Q49013968,"mountain in Idaho, United States of America","Owyhee County, Idaho",1,158,26,"Black Rock (Harney County, Oregon) | Black Rock (Jefferson County, Oregon) | Black Rock (Jefferson County, Oregon)",yes,"probably, but not sure",n,"too generic of a name, must be invented"
North Crested Butte Avenue,us_mountain,Crested Butte,Q5184573,mountain in United States of America,Colorado,8,928,1,-,,common name. possibly invented. Try proximity,y,nearby streets indicate Colorado mountain
South Spring Lake Way,us_lake,Spring Lake,Q112993248,"reservoir in Columbia County, Washington, United States","Columbia County, Washington",0,340,116,"Spring Lake (Box Elder County, Utah) | Spring Lake (Klamath County, Oregon) | Spring Lake (Maple Heights-Lake Desire, Washington)",yes,plausible based on proximity,n,"too generic of a name, must be invented"
North Stanley Creek Avenue,us_river,Stanley Creek,Q28109105,river in the United States of America,Missouri,2,2314,3,"Stanley Creek (Angelina County, Texas) | Stanley Creek (Grayson County, Texas)",,which state is the river in?,,
North Cherry Creek Place,us_river,Cherry Creek,Q2962773,tributary of the South Platte River,Colorado,5,1019,5,"Cherry Creek (Halifax County, Virginia) | Cherry Creek (Arizona) | Cherry Creek (Cattaraugus County, New York)",,"ambiguous, use proximity",,
West Summit Peak Drive,us_mountain,Summit Peak,Q7637850,mountain in United States of America,Colorado,5,1054,5,"Summit Peak (Eureka County, Nevada) | Summit Peak (Pennington County, South Dakota) | Summit Peak (Yuma County, Arizona)",,probably invented,,
